service,top90_trace_num,top90_cg_num,ms_num,label
S_141625278,17325,39,8,0
S_33253909,17310,38,8,0
S_115282530,17307,39,8,0
S_99115626,17304,39,8,0
S_150006227,17286,38,8,0
S_24280585,17283,39,8,0
S_141023865,17276,40,8,0
S_155962241,17275,1,2,1
S_34454819,17270,38,8,0
S_45226479,17263,38,8,0
S_131439734,17258,5,11,2
S_78760677,17256,39,8,0
S_103310376,17253,39,8,0
S_70970470,17252,38,8,0
S_81747566,17238,38,8,0
S_26071977,17238,39,8,0
S_148214499,17235,39,8,0
S_96117514,17214,39,8,0
S_149408755,17211,39,8,0
S_64392324,17210,39,8,0
S_122468858,17208,38,8,0
S_27867233,17207,38,8,0
S_26672640,17205,39,8,0
S_140420220,17199,39,8,0
S_87139982,17198,39,8,0
S_71569162,17198,39,8,0
S_106902573,17198,39,8,0
S_633946,17192,38,8,0
S_78156334,17192,39,8,0
S_12608799,17184,39,8,0
S_111689303,17183,39,8,0
S_35648250,17169,38,8,0
S_99113106,17163,38,8,0
S_126056448,17163,38,8,0
S_32658504,17161,38,8,0
S_138619276,17158,4,3,1
S_115282380,17158,39,8,0
S_103305264,17156,38,8,0
S_53613268,17156,38,8,0
S_123665573,17153,39,8,0
S_141022031,17151,39,8,0
S_81747729,17150,39,8,0
S_21287406,17148,38,8,0
S_74567420,17143,38,8,0
S_22484369,17135,39,8,0
S_88337999,17131,39,8,0
S_50018472,17124,39,8,0
S_3630866,17124,39,8,0
S_51815318,17119,38,8,0
S_116482406,17117,39,8,0
S_121271229,17114,38,8,0
S_80551476,17109,40,8,0
S_93121699,17108,39,8,0
S_102112047,17107,39,8,0
S_97913732,17107,38,8,0
S_63792420,17106,38,8,0
S_99712147,17104,40,8,0
S_160185706,17101,38,8,0
S_60794878,17098,39,8,0
S_13202008,17098,38,8,0
S_160784772,17096,39,8,0
S_81152326,17085,39,8,0
S_8416768,17085,39,8,0
S_121873290,17081,39,8,0
S_49421367,17077,39,8,0
S_132645284,17074,39,8,0
S_41039627,17070,39,8,0
S_45227674,17057,38,8,0
S_120078115,17051,38,8,0
S_125456125,17047,38,8,0
S_50618801,17046,38,8,0
S_158990293,17044,39,8,0
S_30259117,17034,40,8,0
S_123069085,17032,39,8,0
S_94323529,17031,38,8,0
S_52415862,17030,38,8,0
S_42235602,17029,38,8,0
S_157789896,17028,38,8,0
S_7819466,17025,38,8,0
S_14699479,17024,39,8,0
S_44032341,17019,38,8,0
S_48221749,17018,39,8,0
S_81747497,17017,39,8,0
S_159590310,17015,38,8,0
S_164976587,17013,39,8,0
S_42833419,17013,39,8,0
S_78754993,17013,39,8,0
S_147014359,17011,38,8,0
S_115286700,17010,39,8,0
S_141621909,17010,39,8,0
S_55401658,17008,39,8,0
S_5416656,17008,39,8,0
S_41638249,17007,39,8,0
S_62596547,16996,38,8,0
S_81750127,16982,38,8,0
S_93723132,16980,39,8,0
S_24878848,16979,38,8,0
S_142824052,16973,39,8,0
S_159585295,16972,38,8,0
